Protocol,Type
MaybeEmpty,AnyBidirectionalCollection
MaybeEmpty,AnyCollection
MaybeEmpty,AnyRandomAccessCollection
MaybeEmpty,Array
MaybeEmpty,ArraySlice
MaybeEmpty,Character.UnicodeScalarView
MaybeEmpty,ClosedRange
MaybeEmpty,CollectionOfOne
MaybeEmpty,ContiguousArray
MaybeEmpty,DefaultIndices
MaybeEmpty,Dictionary
MaybeEmpty,EmptyCollection
MaybeEmpty,Range
MaybeEmpty,Repeated
MaybeEmpty,ReversedCollection
MaybeEmpty,Set
MaybeEmpty,Slice
MaybeEmpty,String
MaybeEmpty,String._CharacterView
MaybeEmpty,String.UnicodeScalarView
MaybeEmpty,String.UTF16View
MaybeEmpty,String.UTF8View
MaybeEmpty,Substring
MaybeEmpty,Substring._CharacterView
MaybeEmpty,Substring.UnicodeScalarView
MaybeEmpty,Substring.UTF16View
MaybeEmpty,Substring.UTF8View
MaybeEmpty,UnsafeBufferPointer
MaybeEmpty,UnsafeMutableBufferPointer
MaybeEmpty,UnsafeMutableRawBufferPointer
MaybeEmpty,UnsafeRawBufferPointer
